nodes,ranks,threads,nx,nz,steps,total_time,time_per_step,avg_comm_per_step,avg_compute_per_step,comm_fraction,throughput_mcells_s,mpi_thread_level,use_gpu
1,4,8,1024,1024,200,0.48,0.0024,0.0006,0.0018,0.250,437.0,3,1
2,8,8,2048,1024,200,0.50,0.0025,0.0007,0.0018,0.280,419.0,3,1
4,16,8,4096,1024,200,0.53,0.00265,0.0008,0.00185,0.302,395.6,3,1
8,32,8,8192,1024,200,0.56,0.0028,0.0009,0.0019,0.321,374.0,3,1
